PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",58,1756240286355,1756240286425,r,82, rarely, physical-keyboard,49
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",59,1756240286506,1756240286604,p,80, rarely, physical-keyboard,50
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",60,1756240286766,1756240286863,h,72, rarely, physical-keyboard,51
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",61,1756240286861,1756240287034,o,79, rarely, physical-keyboard,52
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",62,1756240286975,1756240287081,u,85, rarely, physical-keyboard,53
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",63,1756240287084,1756240287175,s,83, rarely, physical-keyboard,54
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",64,1756240287198,1756240287266, ,32, rarely, physical-keyboard,-1
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",65,1756240290730,1756240290793,b,66, rarely, physical-keyboard,56
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",66,1756240290852,1756240290925,l,76, rarely, physical-keyboard,57
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",67,1756240291030,1756240291163,o,79, rarely, physical-keyboard,58
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",68,1756240291130,1756240291229,b,66, rarely, physical-keyboard,59
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",69,1756240291213,1756240291307,s,83, rarely, physical-keyboard,60
