PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",43,1757011486821,1757011486933,b,66, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",44,1757011487253,1757011487365,a,65, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",45,1757011487461,1757011487613,c,67, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",46,1757011487573,1757011487741,k,75, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",47,1757011487781,1757011487949,s,83, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",48,1757011487829,1757011487973, ,32, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",49,1757011488109,1757011488277,o,79, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",50,1757011488133,1757011488205,t,84, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",51,1757011488253,1757011488349, ,32, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",52,1757011489269,1757011489373,u,85, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",53,1757011489429,1757011489534,s,83, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",54,1757011489717,1757011489797,Backspace,8, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",55,1757011489877,1757011489957,Backspace,8, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",56,1757011490053,1757011490125,Backspace,8, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",57,1757011490213,1757011490293,Backspace,8, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",58,1757011490397,1757011490500,Backspace,8, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",59,1757011490580,1757011490669,t,84, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",60,1757011490813,1757011490989,o,79, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",61,1757011490949,1757011491061, ,32, rarely, physical-keyboard
